LGBM Params || Macro F1 | Recall C0 | Recall C1 | Recall C2
------------------------------------------------------------------------------------------
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.467 | Rec0: 0.482 | Rec1: 0.296 | Rec2: 0.849
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.473 | Rec0: 0.498 | Rec1: 0.301 | Rec2: 0.830
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.473 | Rec0: 0.498 | Rec1: 0.301 | Rec2: 0.830
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.474 | Rec0: 0.507 | Rec1: 0.292 | Rec2: 0.826
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.474 | Rec0: 0.507 | Rec1: 0.292 | Rec2: 0.826
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.482 | Rec0: 0.538 | Rec1: 0.284 | Rec2: 0.803
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.482 | Rec0: 0.538 | Rec1: 0.284 | Rec2: 0.803
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=500 | subsample=0.8 | colsample_bytree=1 || F1: 0.480 | Rec0: 0.546 | Rec1: 0.276 | Rec2: 0.788
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=500 | subsample=1 | colsample_bytree=1 || F1: 0.479 | Rec0: 0.546 | Rec1: 0.275 | Rec2: 0.787
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.467 | Rec0: 0.489 | Rec1: 0.291 | Rec2: 0.845
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.467 | Rec0: 0.489 | Rec1: 0.291 | Rec2: 0.845
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=1 || F1: 0.482 | Rec0: 0.555 | Rec1: 0.263 | Rec2: 0.807
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=1 || F1: 0.481 | Rec0: 0.555 | Rec1: 0.263 | Rec2: 0.807
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.477 | Rec0: 0.521 | Rec1: 0.287 | Rec2: 0.824
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=1 || F1: 0.477 | Rec0: 0.520 | Rec1: 0.287 | Rec2: 0.824
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=1 || F1: 0.484 | Rec0: 0.606 | Rec1: 0.228 | Rec2: 0.761
